time,open,high,low,close,tick_volume,spread,real_volume,returns,volatility
2025-01-28 19:00:00,1.0426,1.04343,1.04246,1.04278,1662,0,0,0.00017264530980254378,0.0006589206629870817
2025-01-28 20:00:00,1.0428,1.04381,1.04235,1.04264,1901,3,0,-0.00013425650664578015,0.0005934286297430629
2025-01-28 21:00:00,1.04263,1.04366,1.04225,1.0435,1506,4,0,0.0008248292795212109,0.0005724757324354733
2025-01-28 22:00:00,1.0435,1.04353,1.04294,1.04316,1378,3,0,-0.00032582654528034993,0.0004804489445618627
2025-01-28 23:00:00,1.04314,1.04339,1.04283,1.04287,570,0,0,-0.00027800145711120994,0.00048827205556182905
2025-01-29 00:00:00,1.04238,1.043,1.04236,1.04282,350,12,0,-4.7944614381401074e-05,0.00047377099039381507
2025-01-29 01:00:00,1.04277,1.043,1.04265,1.04272,504,4,0,-9.589382635544208e-05,0.00045616305708656984
2025-01-29 02:00:00,1.04273,1.04342,1.04269,1.04303,1143,0,0,0.0002972993708760807,0.00041685820704317
2025-01-29 03:00:00,1.04304,1.04341,1.04271,1.04272,1129,4,0,-0.0002972110102296144,0.00035389799776798926
2025-01-29 04:00:00,1.04268,1.04355,1.04258,1.04337,978,4,0,0.000623369648611094,0.0003991399233779048
2025-01-29 05:00:00,1.04338,1.04389,1.04312,1.04373,1097,4,0,0.0003450357974641438,0.00040751358664050297
2025-01-29 06:00:00,1.04373,1.04424,1.04373,1.04385,861,0,0,0.00011497226294143736,0.0003997441954907421
2025-01-29 07:00:00,1.04384,1.04407,1.04354,1.04401,922,4,0,0.0001532787277866987,0.0003148361137311465
2025-01-29 08:00:00,1.04407,1.04435,1.04364,1.04372,1419,4,0,-0.00027777511709670133,0.0003087899336287304
2025-01-29 09:00:00,1.04371,1.04377,1.04131,1.04159,2084,4,0,-0.002040777219944001,0.0007321412957662374
2025-01-29 10:00:00,1.04169,1.04304,1.04169,1.04241,2234,4,0,0.0007872579421845938,0.0007871700701722168
2025-01-29 11:00:00,1.04238,1.04245,1.0402,1.04038,2367,3,0,-0.0019474103279899513,0.0009928940868889208
2025-01-29 12:00:00,1.04036,1.04083,1.03946,1.04035,2206,4,0,-2.883561775501864e-05,0.0009791220482828153
2025-01-29 13:00:00,1.04036,1.04081,1.0397,1.04015,1827,4,0,-0.00019224299514608578,0.0009792034512351865
2025-01-29 14:00:00,1.04015,1.04047,1.03936,1.0404,2170,3,0,0.00024034994952648603,0.0009484125529834431
2025-01-29 15:00:00,1.04039,1.04056,1.03822,1.03874,2858,3,0,-0.001595540176855037,0.0010022674203813361
2025-01-29 16:00:00,1.03877,1.04015,1.03864,1.0401,2691,3,0,0.0013092785490114167,0.001142248141767765
2025-01-29 17:00:00,1.04011,1.0427,1.03945,1.04193,3269,4,0,0.0017594462070955608,0.0013212267443003713
2025-01-29 18:00:00,1.04192,1.04239,1.04114,1.04158,2895,4,0,-0.0003359150806676592,0.0013217415616543575
2025-01-29 19:00:00,1.04157,1.04283,1.04153,1.04212,2332,4,0,0.0005184431344686935,0.0011651640710890563
2025-01-29 20:00:00,1.04214,1.04244,1.04153,1.04186,1725,4,0,-0.0002494914213333477,0.0011382346005938805
2025-01-29 21:00:00,1.04202,1.04287,1.03882,1.04163,4644,3,0,-0.00022075902712448414,0.0009308676447005248
2025-01-29 22:00:00,1.04159,1.04253,1.04041,1.04104,3189,3,0,-0.000566419937981899,0.0009556417669655545
2025-01-29 23:00:00,1.04102,1.04215,1.04089,1.04202,966,4,0,0.0009413663259816296,0.0009881919264534602
2025-01-30 00:00:00,1.04176,1.04213,1.04146,1.04205,411,11,0,2.8790234352538135e-05,0.0009890224225986353
2025-01-30 01:00:00,1.042,1.04273,1.04179,1.04245,776,3,0,0.00038385873998381115,0.0007734592973064635
2025-01-30 02:00:00,1.04245,1.04288,1.04238,1.0426,921,0,0,0.00014389179337115365,0.0006981399705476074
2025-01-30 03:00:00,1.04258,1.0426,1.0419,1.042,972,1,0,-0.0005754843660079612,0.0004943235715657385
2025-01-30 04:00:00,1.042,1.04267,1.04199,1.0423,929,0,0,0.0002879078694817405,0.00048554890561911256
2025-01-30 05:00:00,1.04229,1.04264,1.04222,1.04253,927,4,0,0.00022066583517221794,0.00046357082472922665
2025-01-30 06:00:00,1.0425,1.04274,1.04176,1.04189,940,1,0,-0.0006138912069676428,0.0005015705750137155
2025-01-30 07:00:00,1.04189,1.0422,1.04175,1.04217,924,4,0,0.00026874238163343556,0.0005011935025379621
2025-01-30 08:00:00,1.04218,1.04226,1.04107,1.04138,1174,0,0,-0.0007580337181074537,0.0005302800340155643
2025-01-30 09:00:00,1.04138,1.04237,1.04093,1.04232,1689,4,0,0.0009026484088421327,0.0005230003576650278
2025-01-30 10:00:00,1.04259,1.04288,1.04161,1.04216,2224,4,0,-0.00015350372246525357,0.0005261723274244468
2025-01-30 11:00:00,1.04218,1.04223,1.0402,1.04074,2490,3,0,-0.0013625546940968514,0.000661079229738874
2025-01-30 12:00:00,1.04072,1.0412,1.03958,1.04006,2109,3,0,-0.000653381247958218,0.0006678677440699838
2025-01-30 13:00:00,1.04005,1.04005,1.03912,1.03917,1856,4,0,-0.0008557198623156959,0.000688885302562528
2025-01-30 14:00:00,1.03917,1.04058,1.03901,1.04033,1945,4,0,0.001116275489092322,0.0008038644312082563
2025-01-30 15:00:00,1.04034,1.04598,1.04013,1.04571,3587,3,0,0.005171435986657924,0.001883554034170012
2025-01-30 16:00:00,1.04561,1.04676,1.04193,1.04281,3927,3,0,-0.002773235409434638,0.002110820476693535
2025-01-30 17:00:00,1.04283,1.04423,1.04269,1.04313,3243,4,0,0.00030686318696582227,0.0021112129968522365
2025-01-30 18:00:00,1.04309,1.04345,1.04168,1.04195,2459,3,0,-0.001131210874962818,0.002131152433847951
2025-01-30 19:00:00,1.04195,1.04231,1.04094,1.04169,2073,3,0,-0.00024953212726130936,0.0021113933238582233
2025-01-30 20:00:00,1.04171,1.04254,1.04156,1.04251,1390,4,0,0.000787182367115058,0.002127581247308047
2025-01-30 21:00:00,1.04249,1.04301,1.04228,1.04279,1079,4,0,0.0002685825555630572,0.0020702324362170672
2025-01-30 22:00:00,1.04282,1.04323,1.03861,1.04075,2673,0,0,-0.001956290336501132,0.0021684867359389195
2025-01-30 23:00:00,1.04074,1.0414,1.03868,1.03868,1972,3,0,-0.001988950276243129,0.0022502188433005553
2025-01-31 00:00:00,1.0381,1.03927,1.0381,1.03875,475,4,0,6.739322986870633e-05,0.0022142381365756764
2025-01-31 01:00:00,1.03866,1.0398,1.03848,1.03967,926,4,0,0.0008856799037304519,0.0012929619172417173
2025-01-31 02:00:00,1.03967,1.04022,1.03851,1.03867,1238,0,0,-0.0009618436619313053,0.001056576890958395
2025-01-31 03:00:00,1.03862,1.03923,1.03766,1.03885,1768,3,0,0.00017329854525516275,0.001047492712219888
2025-01-31 04:00:00,1.03886,1.03949,1.03867,1.03894,1472,4,0,8.663425903643329e-05,0.0010249520691063502
2025-01-31 05:00:00,1.03893,1.03913,1.03836,1.03848,1103,3,0,-0.00044275896586898345,0.0010259507461117506
2025-01-31 06:00:00,1.03849,1.03897,1.03827,1.03873,976,4,0,0.00024073646098132784,0.0009743877949788299
2025-01-31 07:00:00,1.03871,1.03906,1.03845,1.03887,1150,1,0,0.00013477997169619726,0.0009656344287315242
2025-01-31 08:00:00,1.03887,1.03954,1.03873,1.03944,1209,0,0,0.0005486730774784121,0.0008248184297026881
2025-01-31 09:00:00,1.03943,1.04126,1.03917,1.04042,2349,4,0,0.0009428153621180435,0.0005708717243969485
2025-01-31 10:00:00,1.04041,1.04067,1.038,1.03842,2354,3,0,-0.0019223006093692652,0.0008752504547673806
